Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
2002,5ht1a;5ht1a;5ht1a,(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(21 u'\\bipsapirone');(13 u'\\bagonist'),,(4 u'\\btreatment'),
2008,5ht1a;5ht1a;5ht5;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),(16 u'(?i)\\b(drns|drn)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(12 u'\\bsleep');(26 u'\\bbehav'),
2000,5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,(19 u'(?i)\\b(cortexes|cortex)\\b'),(6 u'\\baggressi');(33 u'\\blocomot');(26 u'\\bbehav'),
2011,5ht3,(3 u'(?i)\\b(males|male)\\b'),Method.PET;Method.AGONIST;Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist');(18 u'\\bimaging');(13 u'\\bagonist');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),,(32 u'\\bvomit');(17 u'\\balzheimer');(5 u'\\btherap');(22 u'\\bschizophreni');(1 u'\\bpatient');(3 u'\\bclinical'),
1993,5ht1c;5ht1a;5ht1e;5ht1b;5ht1d;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(29 u'\\bdiethylamide');(13 u'\\bagonist');(12 u'\\bantagonist');(40 u'\\bclozapine'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(2 u'\\bdisorder');(23 u'\\bantipsychotic');(13 u'\\bantidepress'),
2000,5ht2;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(9 u'\\bstress');(8 u'\\banxi');(26 u'\\bbehav'),
1988,5ht3;5ht1;5ht3;5ht1;5ht2;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(23 u'\\bmdl');(53 u'\\bketanserin');(13 u'\\bagonist');(34 u'\\b5ct'),,,
2000,5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1d;5ht1b;5ht1b;5ht1b,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT;Method.ANTAGONIST,(6 u'\\bgr127935');(12 u'\\bantagonist'),,(33 u'\\blocomot');(26 u'\\bbehav');(4 u'\\btreatment'),
2011,5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(12 u'\\bsleep');(4 u'\\btreatment');(26 u'\\bbehav'),
1997,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,,(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(24 u'\\bgepirone'),,,
2012,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(51 u'\\bway100635');(41 u'\\bhaloperidol');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(22 u'\\bschizophreni');(33 u'\\blocomot');(18 u'\\bavoidan');(23 u'\\bantipsychotic'),
2012,5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(15 u'\\bmemory');(25 u'\\bsocial'),
1999,5ht2a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(10 u'\\bmethamphetamine');(12 u'\\bantagonist');(40 u'\\bclozapine'),,(23 u'\\bantipsychotic');(33 u'\\blocomot');(26 u'\\bbehav');(29 u'\\bhyperactiv'),
2006,5ht2c;5ht2;5ht2c;5ht2;5ht2c;5ht2a;5ht2a;5ht2a;5ht2a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(23 u'\\bmdl');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1998,5ht1b;5ht1d;5ht1b;5ht1d;5ht1b;5ht1d;5ht1b;5ht1d;5ht1b;5ht1b;5ht1d;5ht1d,,Method.AGONIST,(7 u'\\bpropranolol');(45 u'\\bmetergoline');(13 u'\\bagonist');(47 u'\\bsumatriptan'),,,
2002,5ht2;5ht2;5ht2;5ht2;5ht2a;5ht2;5ht2a;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2b;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1998,5ht1a;5ht7;5ht7;5ht1a,,Method.AGONIST,(15 u'\\b8ohdpat');(32 u'\\blesions');(13 u'\\bagonist'),,,
1997,5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(7 u'\\bpropranolol');(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
1996,5ht1;5ht2;5ht1;5ht2,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(46 u'\\bspiperone');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2018,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b'),(15 u'\\bmemory');(5 u'\\btherap');(26 u'\\bbehav');(9 u'\\bstress');(16 u'\\blearning');(33 u'\\blocomot');(18 u'\\bavoidan');(14 u'\\bcogniti');(25 u'\\bsocial');(4 u'\\btreatment'),
2007,5ht1a;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(39 u'\\bselective serotonin reuptake inhibitor');(12 u'\\bantagonist');(11 u'\\bfluoxetine');(51 u'\\bway100635');(13 u'\\bagonist'),,(6 u'\\baggressi');(4 u'\\btreatment');(26 u'\\bbehav'),
2005,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(3 u'\\bimmunoreactiv');(50 u'\\bm100907');(12 u'\\bantagonist'),(18 u'(?i)\\b(putamens|putamen)\\b');(17 u'(?i)\\b(caudates|caudate)\\b'),(33 u'\\blocomot');(26 u'\\bbehav');(29 u'\\bhyperactiv'),
2002,5ht3,,Method.ANTAGONIST,(10 u'\\bmethamphetamine');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2012,5ht2c;5ht2c;5ht1;5ht1a;5ht2c;5ht2c;5ht1a;5ht2c;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
1997,5ht1;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(37 u'\\bpiperazine');(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2015,5ht2c,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(43 u'\\bagomelatine');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2012,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine'),,(20 u'\\bmood');(14 u'\\bcogniti');(26 u'\\bbehav');(16 u'\\blearning');(4 u'\\btreatment'),
1997,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(22 u'\\bbuspirone');(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(4 u'\\btreatment'),
1991,5ht3;5ht4;5ht3;5ht5;5ht2;5ht3;5ht3;5ht4;5ht1;5ht3;5ht4;5ht1;5ht3;5ht5;5ht4,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(28 u'\\bzacopride');(23 u'\\bmdl');(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(26 u'\\bbehav'),
2002,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),,(2 u'\\blabeling');(3 u'\\bimmunoreactiv'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2008,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(15 u'\\bmemory');(4 u'\\btreatment');(26 u'\\bbehav');(16 u'\\blearning');(3 u'\\bclinical');(14 u'\\bcogniti'),
1997,5ht2a;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(23 u'\\bmdl');(12 u'\\bantagonist');(40 u'\\bclozapine'),(16 u'(?i)\\b(drns|drn)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(7 u'\\bdepressi');(4 u'\\btreatment');(2 u'\\bdisorder');(23 u'\\bantipsychotic'),
2007,5ht1b;5ht1d;5ht1d;5ht1b;5ht1b;5ht1d,(1 u'(?i)\\b(mice|mouse)\\b'),,,(23 u'(?i)\\b(forebrains|forebrain)\\b'),,
2017,5ht6;5ht6;5ht2a;5ht6;5ht6;5ht2a,,Method.ANTAGONIST,(12 u'\\bantagonist'),,(3 u'\\bclinical');(14 u'\\bcogniti');(17 u'\\balzheimer');(4 u'\\btreatment');(2 u'\\bdisorder'),
2010,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(5 u'\\btherap');(26 u'\\bbehav');(33 u'\\blocomot'),
2019,5ht2c;5ht2c;5ht2c;5ht2c;5ht2c,,Method.AGONIST,(13 u'\\bagonist'),,(33 u'\\blocomot');(26 u'\\bbehav'),
1997,5ht1b;5ht1b;5ht2a;5ht1a;5ht1a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(33 u'\\bmcpp');(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(23 u'\\bantipsychotic');(26 u'\\bbehav'),
2014,5ht1a;5ht1a;5ht5;5ht1;5ht1a;5ht1;5ht1a;5ht1a;5ht1a;5ht1;5ht1,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,(17 u'\\bpet'),,(24 u'\\banxiolytic');(8 u'\\banxi');(2 u'\\bdisorder'),
1995,5ht1a;5ht1d;5ht1b;5ht1;5ht1d;5ht1a;5ht1d;5ht1b;5ht1a;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.STIMULATION;Method.ANTAGONIST,(38 u'\\bssri');(12 u'\\bantagonist');(39 u'\\bselective serotonin reuptake inhibitor'),(16 u'(?i)\\b(drns|drn)\\b'),,
2011,5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(22 u'\\bbuspirone');(13 u'\\bagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(13 u'\\bantidepress');(8 u'\\banxi');(24 u'\\banxiolytic');(30 u'\\bpain'),
1997,5ht2;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(49 u'\\bdoi'),,,
1992,5ht1d;5ht2;5ht1b;5ht1d;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
1996,5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4,(4 u'(?i)\\b(rats|rat)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2004,5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(12 u'\\bantagonist'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b'),(5 u'\\btherap');(34 u'\\bparkinson'),
1995,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(49 u'\\bdoi'),,(5 u'\\btherap'),
1991,5ht1a;5ht1;5ht1a;5ht1a;5ht1;5ht1a;5ht1a;5ht1a;5ht1a;5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(54 u'\\bautoradiography'),,(26 u'\\bbehav');(13 u'\\bantidepress');(4 u'\\btreatment'),
2012,5ht1a;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(5 u'\\bmk801');(13 u'\\bagonist');(12 u'\\bantagonist'),,(34 u'\\bparkinson');(5 u'\\btherap');(26 u'\\bbehav');(1 u'\\bpatient'),
2001,5ht7;5ht1a;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7;5ht7,(4 u'(?i)\\b(rats|rat)\\b'),Method.STAINING;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(42 u'\\bneuroleptics');(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(12 u'\\bantagonist'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(13 u'\\bantidepress'),
2000,5ht2a;5ht2a;5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(31 u'\\brespiratory');(2 u'\\bdisorder'),
2014,5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b,(6 u'(?i)\\b(rodents|rodent)\\b');(8 u'(?i)\\b(primates|primate)\\b'),Method.PET;Method.ANTAGONIST,(19 u'\\bpositron emission tomography');(12 u'\\bantagonist');(17 u'\\bpet'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(7 u'\\bdepressi');(13 u'\\bantidepress');(1 u'\\bpatient'),
2007,5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,,,(3 u'\\bclinical');(7 u'\\bdepressi');(5 u'\\btherap'),
2011,5ht2c;5ht2;5ht2c;5ht2;5ht2;5ht2,,Method.AGONIST,(33 u'\\bmcpp');(13 u'\\bagonist'),,,
2003,5ht3a;5ht3b;5ht3a;5ht3a;5ht3b;5ht3a;5ht3;5ht3a;5ht3b;5ht3a,(1 u'(?i)\\b(mice|mouse)\\b'),,,,,
1989,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(46 u'\\bspiperone');(27 u'\\blsd');(12 u'\\bantagonist');(29 u'\\bdiethylamide');(7 u'\\bpropranolol');(13 u'\\bagonist'),,,
1995,5ht1a;5ht1a;5ht1a;5ht1a;5ht2a;5ht1a;5ht2;5ht5;5ht3;5ht1a;5ht1a;5ht1b;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine');(13 u'\\bagonist');(39 u'\\bselective serotonin reuptake inhibitor');(38 u'\\bssri'),,(3 u'\\bclinical');(7 u'\\bdepressi');(13 u'\\bantidepress');(2 u'\\bdisorder');(4 u'\\btreatment'),
2000,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
1996,5ht1a;5ht1;5ht1a;5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(2 u'\\blabeling');(15 u'\\b8ohdpat'),(16 u'(?i)\\b(drns|drn)\\b'),,
2008,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.STAINING;Method.AGONIST;Method.ANTAGONIST,(51 u'\\bway100635');(11 u'\\bfluoxetine');(13 u'\\bagonist');(12 u'\\bantagonist');(38 u'\\bssri'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(4 u'\\btreatment'),
2019,5ht2a;5ht1;5ht2,(2 u'(?i)\\b(females|female)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(49 u'\\bdoi'),(16 u'(?i)\\b(drns|drn)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(7 u'\\bdepressi');(8 u'\\banxi');(4 u'\\btreatment');(26 u'\\bbehav'),
2001,5ht2a;5ht2c;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2c;5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(49 u'\\bdoi');(9 u'\\britanserin');(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(14 u'(?i)\\b(caudals|caudal)\\b'),,
1993,5ht1c;5ht1a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(40 u'\\bclozapine'),,(23 u'\\bantipsychotic'),
2015,5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2a;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.KNOCKDOWN;Method.ANTAGONIST,(14 u'\\bknockdown');(50 u'\\bm100907');(12 u'\\bantagonist'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(2 u'\\bdisorder');(26 u'\\bbehav'),
1996,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
2002,5ht1a,,Method.STAINING,(3 u'\\bimmunoreactiv'),(19 u'(?i)\\b(cortexes|cortex)\\b');(1 u'(?i)\\b(neocortexes|neocortex)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b');(7 u'(?i)\\b(entorhinals|entorhinal)\\b'),,
2011,5ht2a;5ht7;5ht1a,,Method.STIMULATION;Method.IMMUNOHISTOCHEMISTRY,(3 u'\\bimmunoreactiv');(49 u'\\bdoi'),,(33 u'\\blocomot'),
2004,5ht7;5ht7;5ht7;5ht1a;5ht1a;5ht1a;5ht7,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(26 u'\\bbehav'),
2007,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(51 u'\\bway100635');(32 u'\\blesions');(12 u'\\bantagonist'),(16 u'(?i)\\b(drns|drn)\\b');(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b'),(34 u'\\bparkinson'),
2011,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET,(1 u'\\bneuroimag');(17 u'\\bpet'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b');(22 u'(?i)\\b(anteriors|anterior)(-|\\s+)?(cingulates|cingulate)\\b'),(15 u'\\bmemory');(14 u'\\bcogniti');(9 u'\\bstress');(7 u'\\bdepressi');(4 u'\\btreatment'),
1998,5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(23 u'\\bmdl');(12 u'\\bantagonist'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(4 u'\\btreatment'),
2011,5ht2a;5ht2a;5ht2a,,Method.PET,(23 u'\\bmdl');(18 u'\\bimaging');(17 u'\\bpet'),,(4 u'\\btreatment');(2 u'\\bdisorder');(1 u'\\bpatient'),
2006,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(38 u'\\bssri');(12 u'\\bantagonist'),,,
2019,5ht3;5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b'),,,,(5 u'\\btherap');(26 u'\\bbehav');(7 u'\\bdepressi');(1 u'\\bpatient');(8 u'\\banxi');(33 u'\\blocomot'),
2007,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(3 u'\\bimmunoreactiv'),(16 u'(?i)\\b(drns|drn)\\b'),,
1994,5ht3;5ht3;5ht3;5ht3;5ht3;5ht3,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist'),,,
2014,5ht1d;5ht1b;5ht1d;5ht1b;5ht1b;5ht1d,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,,
2005,5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(20 u'\\bondansetron');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2004,5ht2;5ht2;5ht2;5ht2;5ht2,,Method.AGONIST,(13 u'\\bagonist'),,(4 u'\\btreatment'),
1998,5ht1a;5ht1b;5ht1d;5ht1b;5ht1d;5ht1a;5ht1a;5ht1b;5ht1b;5ht1d;5ht1a;5ht1b;5ht1b;5ht1a;5ht1d;5ht1d;5ht1a,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b'),Method.AGONIST;Method.ANTAGONIST,(47 u'\\bsumatriptan');(12 u'\\bantagonist');(54 u'\\bautoradiography');(51 u'\\bway100635');(13 u'\\bagonist');(6 u'\\bgr127935'),(13 u'(?i)\\b(septums|septum)\\b');(7 u'(?i)\\b(entorhinals|entorhinal)\\b');(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2001,5ht4;5ht4;5ht4;5ht4;5ht4;5ht4,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(14 u'\\bcogniti');(26 u'\\bbehav');(16 u'\\blearning');(18 u'\\bavoidan'),
1994,5ht3;5ht2;5ht3;5ht2;5ht1a;5ht1,,Method.AGONIST;Method.ANTAGONIST,(22 u'\\bbuspirone');(12 u'\\bantagonist');(36 u'\\bbenzodiazepine');(9 u'\\britanserin');(13 u'\\bagonist');(31 u'\\bbenzodiazepines'),,(3 u'\\bclinical');(24 u'\\banxiolytic');(8 u'\\banxi');(5 u'\\btherap');(26 u'\\bbehav'),
2008,5ht5;5ht2a;5ht2a;5ht2a;5ht2a;5ht5,,Method.AGONIST,(13 u'\\bagonist'),,(17 u'\\balzheimer');(5 u'\\btherap');(22 u'\\bschizophreni');(7 u'\\bdepressi');(2 u'\\bdisorder');(14 u'\\bcogniti');(4 u'\\btreatment'),
2002,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(2 u'\\blabeling');(18 u'\\bimaging');(12 u'\\bantagonist'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),,
2007,5ht2a;5ht2a;5ht2a,,Method.AGONIST,(13 u'\\bagonist'),,(22 u'\\bschizophreni');(1 u'\\bpatient'),
2004,5ht1a;5ht1;5ht1a;5ht5;5ht1a;5ht1a;5ht1;5ht1a;5ht5,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(26 u'\\bbehav');(29 u'\\bhyperactiv'),
1997,5ht1a,,Method.AGONIST,(15 u'\\b8ohdpat');(41 u'\\bhaloperidol');(13 u'\\bagonist'),,(9 u'\\bstress');(4 u'\\btreatment');(26 u'\\bbehav'),
2012,5ht1b;5ht1a;5ht1a;5ht1b;5ht1a;5ht1b;5ht1a,(3 u'(?i)\\b(males|male)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,(15 u'\\b8ohdpat'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(8 u'\\banxi');(7 u'\\bdepressi');(25 u'\\bsocial');(26 u'\\bbehav'),
